month,ranking,title,artist,like,lyric,genre,date,rating,vote_count
1,1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)","186,565",보여줘야겠어 내가 망할 거랬던 놈들에게도 내가 잘될 거라 했던 너에게도 다 할게 최선 갈아끼워 다 새 거 My life's shining like a VVS VVS 내 삶은 빛나 VVS VVS 보란 듯 나와 TV에 Now you see me babe 내 삶은 빛나 VVS VVS Skrt-skrt Hey new water new vv 난 알바 째고 무대 위 Yeah go get it go get it 가사 위 가난이 빛나지 안 가 무한리필 살아봐야겠어 내 빌딩 Yeah 개 같던 세상의 뒤통수 치러 왔지 더 크게 Callin’ ma name 모두 날 보고 놀래 미란이가 TV에 떼버려 Tag 사 새롭게 Yeah yeah 타고 비행 Skrr skrr 난 올라가 Skrr skrr 난 빛이 나 내가 뭐라 했어 Mom 꺼내겠다고 포차 맨 밑바닥의 소녀 엄마의 술병이 날 만들어 허기져 이를 꽉 물어 Chit chat bout me 덤벼 겁쟁이 너 VVS on ma neck 꿈 앞에 녹슨 팔찌 버려 문 앞에 구제 벨트 아직 허리에 원망하던 과거와 춤출래 인디고 카니발 Skrt-skrt 목숨은 다 꺼내놓고 자판기 밑 먼지 덕지덕지 붙은 동전까지 털어-털어 여기까지 왔지 What you know about me 내 속 이야기 털어놓으려 지갑 털어 차린 술상 위 넌 폰만 바라봤잖아 이제 그 스크린에서 날 봐라 I'ma 먹고서 Fly 너가 나갈 건 삔또지 악플들이 돈과 함께 쏟아지니 Got a nice ring to it 꼬우면 네 오빠인지 아저씨인지한테 일러바치고 한 판 더 뜨자 해 빛이 나는 Solo라니까 뭘 그렇게 재니 다 드루와 내 패기 170에 60kg도 안 되지만 국보 1호 MC The Q's certified new king in the rap 내가 TV에 쬐끔 나왔다고 연예인 된 줄 알았다는 이미 넌 패 Bigger stacks bigger schemes Do bigger thang G+Jus like this team I'm blessed 모든 게 끝나고 홍대로 돌아가도 모든 건 변함없겠지 Like this VVS 보여줘야겠어 내가 망할 거랬던 놈들에게도 내가 잘될 거라 했던 너에게도 다 할게 최선 갈아끼워 다 새 거 My life's shining like a VVS VVS 내 삶은 빛나 VVS VVS 보란 듯 나와 TV에 Now you see me babe 내 삶은 빛나 VVS VVS Skrt-skrt Ay 먼치맨 복근에 장착된 VVS 내 행동 위험해 걸리지 심의에 자체 발광 계속해 실시해 날 보고 배워요 EBS 흔들릴 바엔 다 흔들어 흘려온 땀이 내 Career 명품이 없어도 고개를 쳐들어 Keep my head up Keep your head up 걱정도 했었지 DAY N NIGHT 싸워서 만드는 내일의 나 MBA 11명 매일이 Party 난 역시나 함께일 때가 빛나 Imma good vibe GV처럼 춤춰 GOOD BYE 내 사랑아 잘 가 웃자 형은 미련 안 키워 OK 이제 난 노래나 불러 전방에 1분간 함성을 발사 기 모아 발포해 내 에너지파 수직상승 올라가 내 텐션 도레미파 먼치맨 YO YO I AIN't got no lie 이제 빛난대 주변에서 TRUE 어쩌면 너가 응원해서 근데 네 말대로 모두 특별하니까 라면 특별히 뭐가 특별해 더 묻고파도 바뀌었지 마치 내 작업실 앞 거리 짧던 이 사정거리 가사가 다 퍼진 광역시 또 걔가 부럽다는 팔로잉 NOW YOU SEE 삐까번쩍 빛나 벌써 이 밤처럼 시간 없어 바쁜 삶 일단 먼저 필사적으로 덤벼 던져 기회는 한순간 잡았다면 밝게 빛나 그 어떤 래퍼의 목걸이보다도 그 HEARTBEAT 진실의 파동 넌 곧 못 볼 거니 좀 봐둬 내 손목은 비었지만 그건 실은 의도적이야 천리안 없이 난 멀리 봐 머리와 멋진 Rhyme 시급으로 따지면 아마도 천만 원이야 힉 야 못 돌아가 시야가 넓어서 날 부정하려면 너 보여봐라 지금 내가 네게 보여준 것처럼 보여줘야겠어 내가 망할 거랬던 놈들에게도 내가 잘될 거라 했던 너에게도 다 할게 최선 갈아끼워 다 새 거 My life's shining like a VVS VVS 내 삶은 빛나 VVS VVS 보란 듯 나와 TV에 Now you see me babe 내 삶은 빛나 VVS VVS Skrt-skrt 역시 성공은 고난을 동반 말없이 등산을 등반하는 것처럼 I gotta move 하늘에 계신 할매 보고 있습니까 조금 늦었습니다 저 뱀들을 물리치느라 이겨내거라 내일이 없는 듯이 아버지 권투선수 인생 한방이니깐 필요하다 한방이 알겠슴돠 동네의 육상선수 나의 어머니 론다로우지 장애물 따윈 없는 듯이 달려라 태민 You gotta move Let’s go let’s go 멜로디 없던 내 인생 아침 해 다시 꼬기오 술 팔아 쪽 팔아 벌었던 돈 하루 사는 하루살이의 콧노래 후룰룰루 훈화말씀 새 나라의 어린이 아니 뭐 그런 흔한 말씀을 또 Let’s go 요것 좀 봐라 라고 하는 선생 그거 좀 마라 이 멋 좀 봐라 야 걱정하지마 머쉬베놈 월이백에서 이천으로 넌 떠나 서울 to 경기 이천으로 넌 찍어라 브이로그 옜다 저스디스 톤으로 My life's shining like a VVS VVS 내 삶은 빛나 VVS VVS 보란 듯 나와 TV에 Now you see me babe 내 삶은 빛나 VVS VVS Skrt-skrt 왔노라 봤노라 결국 이겨냈노라,랩/힙합,2020.11.21,3.9,17116
1,2,밤하늘의 별을(2020),경서,"156,404",밤하늘의 별을 따서 너에게 줄래 너는 내가 사랑하니까 더 소중하니까 오직 너 아니면 안 된다고 외치고 싶어 그저 내 곁에만 있어줘 떠나지 말아줘 참 많이 어색했었죠 널 처음 만난 날 멀리서 좋아하다가 들킨 사람처럼 숨이 가득 차올라서 아무 말 하지 못했는데 너는 말 없이 웃으며 내 손 잡아줬죠 밤하늘의 별을 따서 너에게 줄래 너는 내가 사랑하니까 더 소중하니까 오직 너 아니면 안 된다고 외치고 싶어 그저 내 곁에만 있어줘 떠나지 말아줘 널 좋아하는 내 마음이 표현이 안 돼 꿈이 아니면 좋겠어 자꾸 웃음 나와 내 모든 걸 다 준대도 너에겐 아깝질 않아 이 순간이 영원하길 난 정말 행복해 밤하늘의 별을 따서 너에게 줄래 너는 내가 사랑하니까 더 소중하니까 오직 너 아니면 안 된다고 외치고 싶어 그저 내 곁에만 있어줘 떠나지 말아줘 그저 내 곁에만 있어줘 떠나지 말아줘 많고 많은 사람 중에 너를 만나서 행복하고 싶어 두 번 다시 울지 않을래 오직 내 눈에는 너만 보여 나를 아껴줘 이제부터 혼자가 아니야 우린 함께니까 나나나 난난 난난나 나나나 난난 난난나 나 나나나 난난 난난나 나나난나 나나나 난난 난난나 나나나 난난 난난나 나 나나나 난난 난난나 나나난나,발라드,2020.11.14,1.2,28059
1,3,Dynamite,방탄소년단,"416,020",Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shoes on get up in the morn Cup of milk let’s rock and roll King Kong kick the drum rolling on like a rolling stone Sing song when I’m walking home Jump up to the top LeBron Ding dong call me on my phone Ice tea and a game of ping pong This is getting heavy Can you hear the bass boom I’m ready Life is sweet as honey Yeah this beat cha ching like money Disco overload I’m into that I’m good to go I'm diamond you know I glow up Hey so let’s go Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite woah Bring a friend join the crowd Whoever wanna come along Word up talk the talk just move like we off the wall Day or night the sky’s alight So we dance to the break of dawn Ladies and gentlemen I got the medicine so you should keep ya eyes on the ball huh This is getting heavy Can you hear the bass boom I’m ready Life is sweet as honey Yeah this beat cha ching like money Disco overload I’m into that I’m good to go I'm diamond you know I glow up Let’s go Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite woah Dynnnnnanana life is dynamite Dynnnnnanana life is dynamite Shining through the city with a little funk and soul So I’mma light it up like dynamite woah Dynnnnnanana eh Dynnnnnanana eh Dynnnnnanana eh Light it up like dynamite Dynnnnnanana eh Dynnnnnanana eh Dynnnnnanana eh Light it up like dynamite Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite woah Dynnnnnanana life is dynamite Dynnnnnanana life is dynamite Shining through the city with a little funk and soul So I’mma light it up like dynamite woah,댄스,2020.08.24,4.0,60557
1,4,잠이 오질 않네요,장범준,"142,252",당신은 날 설레게 만들어 조용한 내 마음 자꾸만 춤추게 해 얼마나 얼마나 날 떨리게 하는지 당신이 이 밤을 항상 잠 못 들게 해 매일 같은 밤 너를 생각하면서 유치한 노랠 들으며 심장이 춤을 추면서 오오 난 너를 기다리면서 유치한 노랠 부르며 심장이 춤을 추면서 워 나를 떨리게 하나요 그대 왜 나를 설레게 하나요 자꾸만 오늘도 잠 못 이루는 이 밤 아름다운 그대 나를 아프게 하나요 웃는 그대 왜 자꾸 설레게 하나요 하염없이 오늘 밤 잠이 오질 않네요 보고 싶은 그대여 당신이 날 힘들게 만들어 갑자기 내 마음 자꾸만 멍들게 해 얼마나 얼마나 잠 못 들게 하는지 고요한 내 마음 항상 시끄럽게 해 매일 같은 밤 너를 생각하면서 유치한 노랠 들으며 심장이 춤을 추면서 워 난 너를 기다리면서 유치한 노랠 부르며 심장이 춤을 추면서 워 나를 떨리게 하나요 그대 왜 나를 설레게 하나요 자꾸만 오늘도 잠 못 이루는 이 밤 아름다운 그대 나를 아프게 하나요 웃는 그대 왜 자꾸 설레게 하나요 하염없이 오늘 밤 잠이 오질 않네요 보고 싶은 그대여 매일 밤 너를 생각하면서 유치한 노랠 들으며 심장이 춤을 추면서 워오 난 너를 기다리면서 유치한 노랠 부르며 심장이 춤을 추면서 워 나를 떨리게 하나요 그대 왜 나를 설레게 하나요 자꾸만 오늘도 잠 못 이루는 이 밤 아름다운 그대여 나를 아프게 하나요 웃는 그대 왜 자꾸 설레게 하나요 하염없이 오늘 밤 잠이 오질 않네요 보고 싶은 그대여,발라드,2020.10.24,4.2,6036
1,5,Lovesick Girls,BLACKPINK,"193,633","영원한 밤 창문 없는 방에 우릴 가둔 love What can we say 매번 아파도 외치는 love  다치고 망가져도 나 뭘 믿고 버티는 거야 어차피 떠나면 상처투성인 채로 미워하게 될걸 끝장을 보기 전 끝낼 순 없어 이 아픔을 기다린 것처럼  아마 다 잠깐 일지도 몰라 우린 무얼 찾아서 헤매는 걸까  But I don’t care I’ll do it over and over 내 세상 속엔 너만 있으면 돼  We are the lovesick girls 네 멋대로 내 사랑을 끝낼순 없어 We are the lovesick girls 이 아픔 없인 난 아무 의미가 없어  But we were born to be alone Yeah we were born to be alone Yeah we were born to be alone But why we still looking for love  No love letters, no x and o’s No love never, my exes know No diamond rings, that set in stone To the left, better left alone  Didn’t wanna be a princess, I’m priceless A prince not even on my list Love is a drug that I quit No doctor could help when I’m lovesick  아마 다 잠깐 일지도 몰라 우린 무얼 찾아서 헤매는 걸까  불안한 내 눈빛 속에 널 담아 아프더라도 너만 있으면 돼  We are the lovesick girls 네 멋대로 내 사랑을 끝낼 순 없어 We are the lovesick girls 이 아픔 없인 난 아무 의미가 없어  But we were born to be alone Yeah we were born to be alone Yeah we were born to be alone But why we still looking for love  사랑은 slippin’ and fallin’ 사랑은 killin’ your darlin’ 아프다 아물면 또 찾아오는 이 겁 없는 떨림  들리지 않아 what you say 이 아픔이 난 행복해 나를 불쌍해 하는 네가 내 눈엔 더 불쌍해  We are the lovesick girls 네 멋대로 내 사랑을 끝낼 순 없어 We are the lovesick girls 이 아픔없인 난 아무 의미가 없어  Lovesick girls 모두 결국 떠나가고 Lovesick girls 내 눈물이 무뎌져도 Lovesick girls 아프고 또 아파도 Lovesick girls But we’re still looking for love",댄스,2020.10.02,4.1,23390
1,6,취기를 빌려 (취향저격 그녀 X 산들),산들,"195,040",언제부턴가 불쑥 내 습관이 돼버린 너 혹시나 이런 맘이 어쩌면 부담일까 널 주저했어 언제부턴가 점점 내 하루에 스며든 너 아침을 깨우는 네 생각에 어느샌가 거리엔 어둠이 젖어 들고 취기를 빌려 오늘 너에게 고백할 거야 하루하루 네가 좋다고 괜히 어색할까 혼자 애만 태우다 끝끝내 망설여왔던 순간 알잖아 나 무뚝뚝하고 말도 없는 걸 서툰 표현이 쑥스러워서 괜히 쓰다 지울 문자만 바라보다 멋쩍은 쓴웃음만 언제부턴가 가끔 너와 마주칠 때마다 한참을 머뭇거린 어설픈 손 인사만 오늘 밤도 후회로 잦아들고 취기를 빌려 오늘 너에게 고백할 거야 하루하루 보고 싶다고 괜히 어색할까 혼자 애만 태우다 수없이 연습해왔던 그 말 알잖아 나 무뚝뚝하고 말도 없는 걸 서툰 표현이 쑥스러워서 괜히 쓰다 지울 문자만 바라보다 멋쩍은 쓴웃음만 첫눈을 빌려 오늘은 꼭 고백할 거야 작은 너를 품에 안고서 눈을 마주하고 너무 사랑한다고 함께 하고 싶다고,발라드,2020.07.20,4.0,7351
1,7,힘든 건 사랑이 아니다,임창정,"105,807",내가 널 떠났어야 했는데 왜 떠나야 하는지도 아는데 어떤 아무 말도 아무것도 줄 게 없는 내 곁에서 늘 조용히 손을 잡아준 그대 제발 나를 떠나 부디 너를 찾아 이젠 놔도 되는 너의 나를 분명 다시 돌아갈 수 있으니 더 늦기 전에 어서 나를 떠나가 왜 일찍 널 보낼 수 없었을까 살면서 너와 내가 죽어도 너와 내가 아닌 것을 누군가 그에겐 소중한 너인데 내 그늘에 가려 사랑받지 못해서 미안해 그만큼 받았으니 된 거야 내 생엔 없을 것 같던 그 사랑 어떤 아무 말도 아무것도 줄 게 없는 나일 텐데 또 그렇게 날 안아주는 그대 제발 나를 떠나 부디 너를 찾아 이젠 놔도 되는 너의 나를 분명 다시 돌이킬 수 있으니 더 늦기 전에 어서 나를 떠나가 더 일찍 널 보낼 수 없었을까 혹시나 너와 내가 영원한 너와 내가 맞을까 봐 누군가 그에겐 소중한 너인데 내가 되고 싶어 염치없이 지금까지 널 잡은 거야 떠나고 나면 우린 다 잃는 걸까 아냐 그저 제자리인 거야 우리 헤어지면 잠시 아파 정말 잠시일 거야 세상도 잘했다고 말할 거야 왜 일찍 널 보낼 수 없었을까 살면서 너와 내가 죽어도 너와 내가 아닌 것을 누군가 그에겐 소중한 너인데 내 그늘에 가려 사랑받지 못해서 미안해,발라드,2020.10.19,4.0,8064
1,8,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI),"107,176",See I just wanna share the vibe with ya 우리가 10년 뒤에도 음악을 하고 있다면 과연 없어질까 너와 내 Problems 난 모두가 잘 되길 빌어 이 말이 거짓말 같다 해도 확실한 건 더 이상 상처를 주기 싫어 For real Cuz nobody's perfect I know it 이제 와서 보니 세상이 우릴 만들었다는 생각이 들어 물론 I hurt you bad 얻은 것보다도 잃은 게 많은 것 같아 사실 너도 알잖아 that we can't go back 당장엔 바꿀 수 없다는 것도 알아 시간이 모든 것을 해결해 주지는 않아 그래도 말이야 더는 걱정하지 말아 모든 게 지나면 웃으면서 보자 Meet me in Montauk Good night 내일이 오면 사라져 버릴 것들에게 더 이상은 정을 주지 말자 내일이 오면 아무 일 없던 것처럼 다 사라질 거야 너무 걱정 말자 여기 지하 방은 너무 어두워 For every night there's a brighter day It'll be ok 여기 바퀴벌레 좀 잡아줘 For every night there's a brighter day It'll be ok 살려줘 여기 사람 살아요 추운 겨울이 지나야 봄이 오겠지 그때 난 손목으로 시계를 보겠지 난 시계를 보겠지 우리 다시 만나기를 원했듯이 이 또한 지나가지 내 열두시가 And I just wanna share the vibe with ya 친구는 떠나고 나 혼자 남아 I don't wanna be alone but 다들 살아 남기도 바빠 닮아 가지 모두가 like Boi you better pay me proper 그래 나도 알아 영원한 건 없잖아 당연하다고 믿어왔지만 생각보다도 외로웠지 이걸 어른이라고 부른다지만 절대로 익숙해질 리 없지 너와도 연락이 뜸해졌지 서로 가는 길이 멀어져 I’ve been on the low 가끔은 아무라도 괜찮으니 내게 걸어줬으면 하지 안부 전화라도 시간을 돌린다면 후회할 순간이 많아 내 생각과 달라진 하루하루가 숨 막히지만 어제가 오늘이 될 순 없으니까 내일이 온다면 예전과는 달라지길 언젠가 너와 만나서 옛날 얘기하듯이 쉽게 꺼냈으면 해 난 말했으면 해 오늘이 무사히 지나가기를 나는 기도해 형들이 안 싸우기를 내가 너무 동경했던 그 자리에는 가시방석이 날 맞이했어 나는 앉는 법을 배워 어른이 되는 과정 얘랑 친하면 걔랑은 절대 친할 수 없다고 난 내일 아침처럼 아무 생각이 없다 두 팔을 크게 벌려 기지개를 켰다 정신을 차려보니 아무도 없었던 나의 어제는 빠르게 지나 내일이 됐으면 해 뜨고 해지고 해지는 나의 신발 난 가진 것이 없이 여기 왔고 많이 해쳐먹어도 내 친구들은 아직 아파 해 뜨고 해지고 해지는 나의 신발 난 그만하고 나가고 싶어 여기 지하방은 너무 어두워 내일이 오면 사라져 버릴 것들에게 더 이상은 정을 주지 말자 내일이 오면 아무 일 없던 것처럼 다 사라질 거야 너무 걱정 말자 여기 지하 방은 너무 어두워 For every night there's a brighter day It'll be ok 여기 바퀴벌레 좀 잡아줘 For every night there's a brighter day It'll be ok 살려줘 여기 사람 살아요 Tomorrow Tomorrow 눈을 감고 노랠 부르면 몰랐던 답들이 내게 다가와 손을 건네고 보지 못했던 감동을 너는 보게 될 거야 It’s alright,랩/힙합,2020.12.05,4.5,10807
1,9,Life Goes On,방탄소년단,"219,960","어느 날 세상이 멈췄어 아무런 예고도 하나 없이 봄은 기다림을 몰라서 눈치 없이 와버렸어 발자국이 지워진 거리 여기 넘어져있는 나 혼자 가네 시간이 미안해 말도 없이  오늘도 비가 내릴 것 같아 흠뻑 젖어버렸네 아직도 멈추질 않아 저 먹구름보다 빨리 달려가 그럼 될 줄 알았는데 나 겨우 사람인가 봐 몹시 아프네 세상이란 놈이 준 감기 덕분에 눌러보는 먼지 쌓인 되감기 넘어진 채 청하는 엇박자의 춤 겨울이 오면 내쉬자 더 뜨거운 숨  끝이 보이지 않아 출구가 있긴 할까 발이 떼지질 않아 않아 oh 잠시 두 눈을 감아 여기 내 손을 잡아 저 미래로 달아나자  Like an echo in the forest 하루가 돌아오겠지 아무 일도 없단 듯이 Yeah life goes on Like an arrow in the blue sky 또 하루 더 날아가지 On my pillow, on my table Yeah life goes on Like this again  이 음악을 빌려 너에게 나 전할게 사람들은 말해 세상이 다 변했대 다행히도 우리 사이는 아직 여태 안 변했네  늘 하던 시작과 끝 ‘안녕’이란 말로 오늘과 내일을 또 함께 이어보자고 멈춰있지만 어둠에 숨지 마 빛은 또 떠오르니깐  끝이 보이지 않아 출구가 있긴 할까 발이 떼지질 않아 않아 oh 잠시 두 눈을 감아 여기 내 손을 잡아 저 미래로 달아나자  Like an echo in the forest 하루가 돌아오겠지 아무 일도 없단 듯이 Yeah life goes on Like an arrow in the blue sky 또 하루 더 날아가지 On my pillow, on my table Yeah life goes on Like this again  I remember I remember I remember I remember",랩/힙합,2020.11.20,4.4,42522
1,10,오래된 노래,스탠딩 에그,"230,071",오래 전에 함께 듣던 노래가 발걸음을 다시 멈춰서게 해 이 거리에서 너를 느낄 수 있어 널 이 곳에서 꼭 다시 만날 것 같아 너 일까봐 한번더 바라보고 너 일까봐 자꾸 돌아보게 돼 어디선가 같은 노래를 듣고 날 생각하며 너 역시 멈춰있을까 오래 전에 함께 듣던 노래가 거리에서 내게 우연히 들려온 것처럼 살아가다 한번쯤 우연히 만날 것 같아 사랑했던 그 모습 그대로 내 사랑이 그대로인 것처럼 발걸음이 여길 찾는 것처럼 꼭 만날꺼야 지금 이 노래처럼 날 사랑하는 네 맘도 같을테니까 오래 전에 함께 듣던 노래가 거리에서 내게 우연히 들려온 것처럼 살아가다 한번쯤 우연히 만날 것 같아 사랑했던 그 모습 그대로 운명처럼 아니면 우연처럼 우리가 다시 예전처럼 만날 수 있다면 너에게 나 해주고 싶은 말이 하나 있어 널 다시는 놓치지 않을게 오래 전에 함께 듣던 노래가 거리에서 내게 우연히 들려온 것처럼 살아가다 한번쯤 우연히 만날 것 같아 사랑했던 그 모습 그대로,"인디음악, 포크/블루스",2012.09.04,4.0,4080
